Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,177.000000,178.000000,174.000000,175.000000,175.000000,8258100
2022-12-05,175.000000,175.000000,171.000000,172.000000,172.000000,10594100
2022-12-06,173.000000,173.000000,168.000000,169.000000,169.000000,8976700
2022-12-07,170.000000,171.000000,167.000000,170.000000,170.000000,6674600
2022-12-08,171.000000,171.000000,166.000000,170.000000,170.000000,7713400
2022-12-09,170.000000,170.000000,168.000000,170.000000,170.000000,4986400
2022-12-12,171.000000,173.000000,168.000000,170.000000,170.000000,3573400
2022-12-13,170.000000,170.000000,168.000000,170.000000,170.000000,2751300
2022-12-14,169.000000,170.000000,168.000000,170.000000,170.000000,2055300
2022-12-15,170.000000,170.000000,168.000000,170.000000,170.000000,1387400
2022-12-16,170.000000,170.000000,169.000000,170.000000,170.000000,2666900
2022-12-19,170.000000,170.000000,168.000000,169.000000,169.000000,4752700
2022-12-20,169.000000,170.000000,168.000000,170.000000,170.000000,2235500
2022-12-21,170.000000,170.000000,166.000000,169.000000,169.000000,4407200
2022-12-22,169.000000,169.000000,167.000000,167.000000,167.000000,1205500
2022-12-23,167.000000,169.000000,165.000000,166.000000,166.000000,6444100
2022-12-26,166.000000,167.000000,165.000000,166.000000,166.000000,3245500
2022-12-27,170.000000,170.000000,166.000000,168.000000,168.000000,1860000
2022-12-28,168.000000,169.000000,167.000000,167.000000,167.000000,1603600
2022-12-29,167.000000,168.000000,166.000000,168.000000,168.000000,3632100
2022-12-30,168.000000,171.000000,166.000000,171.000000,171.000000,2520100
2023-01-02,171.000000,172.000000,163.000000,167.000000,167.000000,19215200
2023-01-03,167.000000,167.000000,165.000000,166.000000,166.000000,5032600
2023-01-04,167.000000,168.000000,163.000000,163.000000,163.000000,10018700
2023-01-05,162.000000,162.000000,153.000000,156.000000,156.000000,12001100
2023-01-06,162.000000,162.000000,155.000000,160.000000,160.000000,4166500
2023-01-09,160.000000,164.000000,159.000000,160.000000,160.000000,2786000
2023-01-10,160.000000,160.000000,155.000000,159.000000,159.000000,3522400
2023-01-11,160.000000,160.000000,154.000000,155.000000,155.000000,3223800
2023-01-12,156.000000,158.000000,155.000000,155.000000,155.000000,3334900
2023-01-13,155.000000,159.000000,154.000000,159.000000,159.000000,2332800
2023-01-16,159.000000,160.000000,155.000000,159.000000,159.000000,3650000
2023-01-17,159.000000,159.000000,155.000000,156.000000,156.000000,8763800
2023-01-18,156.000000,159.000000,156.000000,157.000000,157.000000,3877100
2023-01-19,157.000000,159.000000,153.000000,154.000000,154.000000,11089000
2023-01-20,154.000000,157.000000,154.000000,155.000000,155.000000,2413700
2023-01-24,155.000000,158.000000,155.000000,157.000000,157.000000,2347000
2023-01-25,157.000000,160.000000,156.000000,158.000000,158.000000,8913100
2023-01-26,158.000000,159.000000,157.000000,158.000000,158.000000,14294900
2023-01-27,159.000000,162.000000,156.000000,161.000000,161.000000,59646300
2023-01-30,165.000000,165.000000,159.000000,161.000000,161.000000,14396000
2023-01-31,162.000000,162.000000,160.000000,161.000000,161.000000,3202400
2023-02-01,171.000000,171.000000,160.000000,163.000000,163.000000,5160000
2023-02-02,162.000000,168.000000,162.000000,166.000000,166.000000,12263800
2023-02-03,167.000000,170.000000,166.000000,169.000000,169.000000,10267100
2023-02-06,170.000000,172.000000,167.000000,168.000000,168.000000,10082400
2023-02-07,168.000000,170.000000,166.000000,168.000000,168.000000,3032400
2023-02-08,168.000000,169.000000,167.000000,169.000000,169.000000,1729500
2023-02-09,169.000000,169.000000,165.000000,166.000000,166.000000,6030400
2023-02-10,166.000000,166.000000,162.000000,164.000000,164.000000,5161000
2023-02-13,164.000000,170.000000,162.000000,167.000000,167.000000,4067100
2023-02-14,167.000000,169.000000,167.000000,169.000000,169.000000,4440600
2023-02-15,168.000000,169.000000,168.000000,169.000000,169.000000,2670600
2023-02-16,169.000000,169.000000,168.000000,169.000000,169.000000,2508900
2023-02-17,169.000000,169.000000,168.000000,168.000000,168.000000,2880400
2023-02-20,168.000000,170.000000,168.000000,169.000000,169.000000,9056700
2023-02-21,169.000000,170.000000,168.000000,169.000000,169.000000,2849100
2023-02-22,169.000000,170.000000,166.000000,169.000000,169.000000,4513500
2023-02-23,169.000000,169.000000,167.000000,168.000000,168.000000,3009900
2023-02-24,169.000000,169.000000,166.000000,168.000000,168.000000,4156700
2023-02-27,168.000000,172.000000,167.000000,169.000000,169.000000,10926900
2023-02-28,169.000000,177.000000,168.000000,175.000000,175.000000,53349100
2023-03-01,175.000000,177.000000,173.000000,173.000000,173.000000,5323500
2023-03-02,174.000000,176.000000,172.000000,174.000000,174.000000,6990700
2023-03-03,174.000000,176.000000,169.000000,169.000000,169.000000,15755400
2023-03-06,169.000000,170.000000,168.000000,170.000000,170.000000,3759200
2023-03-07,170.000000,170.000000,167.000000,167.000000,167.000000,3742700
2023-03-08,167.000000,169.000000,165.000000,169.000000,169.000000,4262600
2023-03-09,169.000000,170.000000,166.000000,170.000000,170.000000,3177200
2023-03-10,170.000000,170.000000,167.000000,167.000000,167.000000,8028000
2023-03-13,167.000000,168.000000,165.000000,167.000000,167.000000,4222100
2023-03-14,167.000000,168.000000,164.000000,164.000000,164.000000,5349100
2023-03-15,164.000000,168.000000,164.000000,165.000000,165.000000,3555000
2023-03-16,165.000000,166.000000,160.000000,162.000000,162.000000,8132600
2023-03-17,162.000000,164.000000,158.000000,164.000000,164.000000,3199000
2023-03-20,164.000000,165.000000,162.000000,164.000000,164.000000,1842600
2023-03-21,164.000000,167.000000,161.000000,163.000000,163.000000,2710700
2023-03-24,164.000000,167.000000,162.000000,163.000000,163.000000,9291800
2023-03-27,163.000000,165.000000,162.000000,164.000000,164.000000,3397800
2023-03-28,164.000000,169.000000,164.000000,168.000000,168.000000,7176300
2023-03-29,168.000000,168.000000,166.000000,168.000000,168.000000,5307300
2023-03-30,168.000000,168.000000,166.000000,167.000000,167.000000,3402300
2023-03-31,168.000000,168.000000,166.000000,167.000000,167.000000,2385900
2023-04-03,166.000000,167.000000,163.000000,165.000000,165.000000,8552200
2023-04-04,165.000000,166.000000,162.000000,165.000000,165.000000,3757500
2023-04-05,165.000000,166.000000,161.000000,164.000000,164.000000,20809400
2023-04-06,164.000000,164.000000,162.000000,164.000000,164.000000,3347900
2023-04-10,164.000000,164.000000,159.000000,162.000000,162.000000,7832300
2023-04-11,162.000000,164.000000,159.000000,162.000000,162.000000,10825000
2023-04-12,162.000000,162.000000,159.000000,159.000000,159.000000,22782000
2023-04-13,160.000000,161.000000,159.000000,160.000000,160.000000,9274100
2023-04-14,161.000000,165.000000,160.000000,161.000000,161.000000,4897500
2023-04-17,163.000000,164.000000,161.000000,163.000000,163.000000,3487900
2023-04-18,163.000000,164.000000,161.000000,164.000000,164.000000,2945800
2023-04-26,164.000000,167.000000,160.000000,167.000000,167.000000,9356200
2023-04-27,168.000000,172.000000,167.000000,169.000000,169.000000,22360800
2023-04-28,170.000000,170.000000,161.000000,166.000000,166.000000,17330000
2023-05-02,166.000000,177.000000,165.000000,166.000000,166.000000,65921300
2023-05-03,168.000000,174.000000,165.000000,169.000000,169.000000,35620900
2023-05-04,169.000000,171.000000,168.000000,169.000000,169.000000,17517300
2023-05-05,171.000000,174.000000,169.000000,172.000000,172.000000,32729800
2023-05-08,172.000000,185.000000,171.000000,184.000000,184.000000,61173600
2023-05-09,186.000000,188.000000,180.000000,183.000000,183.000000,36153200
2023-05-10,183.000000,185.000000,180.000000,182.000000,182.000000,27075900
2023-05-11,182.000000,184.000000,174.000000,182.000000,182.000000,32367900
2023-05-12,182.000000,185.000000,179.000000,185.000000,185.000000,23368200
2023-05-15,186.000000,191.000000,185.000000,185.000000,185.000000,45269600
2023-05-16,185.000000,200.000000,185.000000,193.000000,193.000000,100559900
2023-05-17,193.000000,195.000000,188.000000,189.000000,189.000000,42081300
2023-05-19,189.000000,198.000000,186.000000,194.000000,194.000000,40315300
2023-05-22,195.000000,212.000000,194.000000,208.000000,208.000000,102082800
2023-05-23,214.000000,214.000000,204.000000,210.000000,210.000000,47025300
2023-05-24,210.000000,226.000000,208.000000,220.000000,220.000000,90322500
2023-05-25,228.000000,238.000000,218.000000,234.000000,234.000000,79577100
2023-05-26,234.000000,258.000000,234.000000,258.000000,258.000000,167048700
2023-05-29,260.000000,280.000000,240.000000,240.000000,240.000000,342642700
2023-05-30,240.000000,240.000000,224.000000,224.000000,224.000000,131282900
2023-05-31,220.000000,226.000000,210.000000,210.000000,210.000000,111780800
2023-06-05,210.000000,236.000000,202.000000,236.000000,236.000000,167830200
2023-06-06,236.000000,238.000000,218.000000,226.000000,226.000000,114608300
2023-06-07,226.000000,234.000000,224.000000,228.000000,228.000000,44878400
2023-06-08,228.000000,230.000000,224.000000,226.000000,226.000000,31301500
2023-06-09,226.000000,234.000000,224.000000,230.000000,230.000000,45321000
2023-06-12,232.000000,234.000000,226.000000,228.000000,228.000000,37100300
