Date;Close_GJTL;Close_TLKM;Close_UNTR;Close_DILD;Close_UNVR
19/07/2021;775;3220;19100;168;5075
21/07/2021;785;3210;19050;168;5125
22/07/2021;815;3260;20125;171;5025
23/07/2021;805;3170;19750;171;4800
26/07/2021;795;3190;20200;168;4700
27/07/2021;775;3270;20000;167;4500
28/07/2021;780;3190;19775;163;4450
29/07/2021;780;3230;19750;163;4330
30/07/2021;780;3240;19550;163;4220
02/08/2021;780;3310;19300;162;4400
03/08/2021;795;3330;19150;163;4380
04/08/2021;790;3370;18925;166;4330
05/08/2021;790;3340;18900;167;4440
06/08/2021;780;3320;18900;163;4420
09/08/2021;750;3250;18700;162;4310
10/08/2021;750;3230;19000;161;4250
12/08/2021;755;3350;20700;160;4210
13/08/2021;755;3300;20650;161;4250
16/08/2021;750;3340;20175;156;4150
18/08/2021;800;3420;19725;156;4230
19/08/2021;755;3390;19300;150;4110
20/08/2021;755;3400;19000;150;4070
23/08/2021;760;3440;19025;154;4060
24/08/2021;765;3400;18825;153;4080
25/08/2021;765;3370;19125;153;4170
26/08/2021;765;3360;19275;152;4090
27/08/2021;760;3320;19475;151;4030
30/08/2021;765;3400;20000;150;4130
31/08/2021;770;3400;20075;152;4050
01/09/2021;765;3340;20050;152;4100
02/09/2021;765;3370;20325;153;4150
03/09/2021;765;3390;21375;155;4240
06/09/2021;775;3390;21750;156;4250
07/09/2021;770;3380;21550;160;4250
08/09/2021;750;3330;20900;158;4100
09/09/2021;750;3390;21800;157;4100
10/09/2021;745;3330;21225;158;4080
13/09/2021;745;3350;20875;158;4040
14/09/2021;745;3440;21400;159;4050
15/09/2021;740;3450;21650;163;4040
16/09/2021;730;3440;21650;170;4010
17/09/2021;725;3530;20500;169;3950
20/09/2021;720;3520;20575;168;3880
21/09/2021;710;3530;20600;165;3840
22/09/2021;710;3590;20875;167;4040
23/09/2021;705;3560;21075;169;4050
24/09/2021;715;3560;22075;168;3970
27/09/2021;710;3520;22875;169;3860
28/09/2021;705;3530;24000;168;3820
29/09/2021;705;3530;25500;166;3920
